Classe de tamanho	Tipo de Armadura	Nome	Bônus de Esquiva	Resistências	Bolsos	Propriedades
B	-	Roupas Simples	0	-	5	Simples
B	-	Roupas de Qualidade	0	-	5	Status
B	-	Traje De Artesão	0	-	6	Simples, Status
B	-	Veste de Seda	0	Cortante(1) Perfurante(1)	4	Status
B	-	Traje de Viagem	0		4	Simples, Isolante
C	-	Vestes Pesadas	0	Impacto(1)	4	Simples, Isolante
C	Leve	Colete de Couro	-1	Impacto(1) Perfurante(2)	4	
C	Leve	Armadura Acolchoada	-1	Cortante(1) Impacto(2)	3	Simples, Isolante
C	Leve	Gibão Reforçado	-1	Cortante(1) Impacto(1) Perfurante(1)	3	Isolante
B	Leve	Cota de Aneis	-1	Cortante(2) Perfurante(1)	3	Barulhenta,
C	Média	eitoral de Couro RebitadoP	-2	Cortante(2) Perfurante(2) Impacto(1)	2	
C	Média	Cota de Aneis Acolchoada	-2	Cortante(2) Perfurante(1) Impacto(2)	2	Barulhenta, Isolante
C	Média	Armadura de Escamas	-2	Cortante(2) Perfurante(3)	2	Barulhenta
C	Média	Brigantina de Madeira	-2	Cortante(3) Impacto (1) Perfurante(1)	2	Simples
D	Média	Meia Armadura	-2	Cortante(3) Impacto(2)	2	Barulhenta, Status
D	Pesada	Brigantina de Metal	-2	Cortante(3) Impacto(2) Perfurante(1)	2	Barulhenta
C	Pesada	Sobretudo de peles	-2	Cortante(2) Impacto(2) Perfurante(2)	2	Simples, Volumosa, Isolante
D	Pesada	Armadura Ornada	-2	Cortante(3) Perfurante(2)	1	Barulhenta, Status, Viseira, Volumosa
D	Pesada	Armadura de Placas	-2	Cortante(4) Impacto(2)	2	Barulhenta
E	Pesada	Armadura Articulada	-2	Cortante(4) Impacto(2) Perfurante(4)	1	Pesada, Barulhenta, Impermeável
E	Pesada	Armadura Completa	-3	Cortante(4) Impacto(3) Perfurante(3)	1	Pesada, Barulhenta, Viseira, Volumosa, Isolante
