A Distancia	Escudo	Classe de Tamanho	Bônus de Dano	Nome	Tipo de dano	Bônus de Manuseio	Bônus de Peso	Bônus de Defesa	Habilidades
FALSO	FALSO	A	0	Navalha	Cortante	-	-	-	Disfarçado, Silencioso, Saque rápido
FALSO	FALSO	A	1	Adaga	Cortante	-	-	-	Arremessável, Combate Duplo
FALSO	FALSO	A	0	Chakram	Cortante	-	-	-	Arremessável, Retorno, Ataque em Arco
FALSO	FALSO	A	0	Adaga de Aparagem	Cortante	1	-	-	Defensivo, Combate duplo
FALSO	FALSO	A	0	Punhal	Perfurante	1	-	-	Ignorar armadura, Defensivo, Saque rápido
FALSO	FALSO	A	1	Soco Inglês	Impacto	-	1	-	Impactante, Disfarçado
FALSO	FALSO	A	1	Machadinha	Cortante	-	1	-	Arremessável
FALSO	FALSO	A	0	Lamina Serrilhada	Cortante / Perfurante	-	-	-	Laceração
FALSO	FALSO	A	0	Tocha	Fogo / Impacto	-	-	-	Ataque em arco, Disfarçado, Visibilidade
FALSO	FALSO	A	0	Chicote	Impacto / Cortante	1	-	-	Agarrar, Alcance
FALSO	FALSO	B	2	Machado	Cortante	-	2	-	Arremessável
FALSO	FALSO	B	2	Machado de batalha	Cortante	-	2	-	Ataque em Arco
FALSO	FALSO	B	2	Martelo	Impacto	-	2	-	Impactante
FALSO	FALSO	B	2	Maça	Impacto	-	2		Confiavel, Status
FALSO	FALSO	B	1	Morning Star	Impacto/Perfurante	1	1	-	Laceração
FALSO	FALSO	B	2	Lança curta	Perfurante	1	-	-	Alcance, Empalar
FALSO	FALSO	B	2	Javelin	Perfurante	1	-	-	Alcance, Arremessável
FALSO	FALSO	B	1	Arpão de Pesca	Perfurante	-	1	-	Alcance, Arremessável, Empalar, Retorno, Aquático
FALSO	FALSO	B	1	Clava	Impacto	1	2	-	Impactante, Disfarçado
FALSO	FALSO	B	1	Espada reta	Cortante / Perfurante	1	1	-	Confiável, Defensivo, Status
FALSO	FALSO	B	1	Rapieira	Perfurante	2	-	-	Arma oportuna, Alcance
FALSO	FALSO	B	1	Florete	Perfurante	2	-	-	Defensivo, Contra-Ataque, Status
FALSO	FALSO	B	2	Sabre	Cortante / Perfurante	1	1	-	Contra-Ataque
FALSO	FALSO	B	2	Cimitarra	Cortante	1	1	-	Combate duplo
FALSO	FALSO	B	2	Espada em gancho	Cortante	2	-		Agarrar
FALSO	FALSO	B	2	Katana	Cortante / Perfurante	1	1	-	Defensivo, Saque Rápido
FALSO	FALSO	B	1	Espada Ondulada	Cortante / Perfurante	1	-	-	Ignorar armadura, laceração
FALSO	FALSO	B	2	Machete	Cortante	1	-	-	Ataque em Arco, Combate Duplo
FALSO	FALSO	B	3	Facão	Cortante	-	-	-	-
FALSO	FALSO	B	3	Mangual	Impacto	-	2	-	Aceleração, Impactante
FALSO	FALSO	B	2	Foice	Cortante	1	-	-	Agarrar, Laceração
FALSO	FALSO	C	3	Espada Longa	Cortante / Perfurante	1	1	-	Ataque em Arco, Defensivo, Status
FALSO	FALSO	C	3	Guarda Larga	Cortante / Perfurante	1	1	1	Ataque em Arco, Estabilidade
FALSO	FALSO	C	3	Espada Bastarda	Cortante / Perfurante	1	1	-	Ataque em Arco, Confiável
FALSO	FALSO	C	3	Flamígera	Cortante / Perfurante	1	1	-	Ataque em Arco, Laceração
FALSO	FALSO	C	3	Estoc	Perfurante	2	-	-	Alcance, Empalar, Ignorar Armadura
FALSO	FALSO	C	2	Bastão	Impacto	1	1	-	Ataque em Arco, Impactante, Defensivo
FALSO	FALSO	C	3	Machado longo	Cortante	-	2	1	Ataque em Arco, Estabilidade
FALSO	FALSO	C	3	Machado Largo	Cortante	-	2	-	Ataque em Arco, Arremessável
FALSO	FALSO	C	3	Machado Meia Lua	Cortante	1	1	-	Ataque em Arco, Agarrar
FALSO	FALSO	C	3	Martelo de batalha	Impacto	-	2	-	Ataque em Arco, Impactante
FALSO	FALSO	C	3	Picareta de Guerra	Perfurante	-	2	-	Ataque em Arco, Ignorar Armadura
FALSO	FALSO	C	2	Foice Grande	Cortante / Perfurante	2	-	-	Ataque em Arco, Agarrar, Laceração
FALSO	FALSO	C	2	Lança de Cavalaria	Perfurante	1	1	-	Alcance, Investida, Impactante, Status
FALSO	FALSO	C	3	Partazana	Cortante / Perfurante	1	-	-	Empalar, Alcance, Arma oportuna
FALSO	FALSO	C	3	Gládio	Cortante / Perfurante	2	-	-	Ataque em Arco, Alcance, Status
FALSO	FALSO	C	3	Lâminas Gêmeas	Cortante	2	1	-	Ataque em Arco, Aceleração, Contra Ataque
FALSO	FALSO	C	3	Corrente	Impacto	1	2	-	Ataque em Arco, Aceleração, Alcance, Agarrar
FALSO	FALSO	C	1	Estandarte de Guerra	Impacto	-	-	1	Ataque em arco, Alcance, Estabilidade, Visibilidade, Status
FALSO	FALSO	D	4	Espada Grande	Cortante	1	2	1	Investida, Estabilidade
FALSO	FALSO	D	4	Espada Larga	Cortante	-	3	1	Ataque em Arco, Estabilidade
FALSO	FALSO	D	4	Nodachi	Cortante	3	-	-	Ataque em Arco, Contra-Ataque
FALSO	FALSO	D	3	Grand Estoc	Perfurante	3	-	-	Alcance, Arma oportuna, Ignorar Armadura
FALSO	FALSO	D	3	Alabarda	Cortante / Perfurante	2	1	-	Ataque em Arco, Alcance, Agarrar
FALSO	FALSO	D	4	Lucerne	Perfurante / Impacto	1	2		Ataque em Arco, Alcance
FALSO	FALSO	D	4	Tridente de Guerra	Perfurante	1	1	-	Alcance, Arremessável, Laceração, Aquático, Status
