A Distancia	Escudo	Classe de Tamanho	Bônus de Dano	Nome	Tipo de dano	Bônus de Manuseio	Bônus de Peso	Bônus de Defesa	Habilidades
FALSO	FALSO	A	1	Lâminas pequenas	Cortante / Perfurante	1	-	-	Defensivo ; Ignorar armadura ; arremessavel
FALSO	FALSO	A	0	Objetos improvisados	Impacto	-	-	-	Arremessável; Impactante
FALSO	FALSO	B	2	Espadas	Cortante / Perfurante	2	-	-	Defensivo
FALSO	FALSO	B	2	Machados	Cortante	-	2	-	Arremessável
FALSO	FALSO	B	2	Martelos	Impacto / Perfurante	-	2	-	Impactante
FALSO	FALSO	B	2	Lanças	Perfurante	-	-	-	Alcance ; Arremessável
FALSO	FALSO	C	3	Lâminas longas	Cortante	1	1	-	Defensivo
FALSO	FALSO	C	3	Armas Pesadas	Impacto / Cortante	-	2	-	Impactante; Alcance
FALSO	FALSO	C	3	Armas de Haste	Perfurante / Cortante	2	-	-	Alcance; Empalar;
FALSO	FALSO	D	4	Armas de guerra	Impacto / Perfurante	-	3	-	Ataque em arco; Impactante;
VERDADEIRO	FALSO	A	1	Dardo	Perfurante / Cortante	1	-	-	Silencioso
VERDADEIRO	FALSO	B	2	Arco	Perfurante	1	-	-	Arma oportuna
VERDADEIRO	FALSO	C	3	Besta	Perfurante	-	-	-	Contra ataque
VERDADEIRO	FALSO	D	3	Balista de Mão	Perfurante	-	2	-	Empalar
FALSO	VERDADEIRO	A	1	Escudo Pequeno	Impacto	1	-	1	Contra ataque
FALSO	VERDADEIRO	B	1	Escudo Médio	Impacto	-	1	2	Tartaruga
FALSO	VERDADEIRO	B	2	Escudo Grande	Impacto	-	1	2	Golpe com escudo
